Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;GASOLINA;10/09/2024;5,39;;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;ETANOL;10/09/2024;3,49;;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0005-75;AVENIDA BOULEVARD THAUMATURGO;1031;;CENTRO;69980-000;GASOLINA;11/09/2024;7,53;;R$ / litro;VIBRA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0005-75;AVENIDA BOULEVARD THAUMATURGO;1031;;CENTRO;69980-000;GASOLINA ADITIVADA;11/09/2024;7,63;;R$ / litro;VIBRA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;GASOLINA;11/09/2024;7,53;;R$ / litro;VIBRA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;GASOLINA ADITIVADA;11/09/2024;7,63;;R$ / litro;VIBRA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;GASOLINA;11/09/2024;7,53;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;GASOLINA ADITIVADA;11/09/2024;7,62;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;ETANOL;11/09/2024;5,24;;R$ / litro;IPIRANGA
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;GASOLINA;12/09/2024;7,14;;R$ / litro;VIBRA
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;GASOLINA ADITIVADA;12/09/2024;7,14;;R$ / litro;VIBRA
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;ETANOL;12/09/2024;4,89;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;;FLORESTA;69906-380;GASOLINA;12/09/2024;7,14;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;;FLORESTA;69906-380;GASOLINA ADITIVADA;12/09/2024;7,24;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;;FLORESTA;69906-380;ETANOL;12/09/2024;4,89;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;GASOLINA;12/09/2024;7,19;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;GASOLINA ADITIVADA;12/09/2024;7,29;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;ETANOL;12/09/2024;4,99;;R$ / litro;VIBRA
N;AC;RIO BRANCO;POSTO VILLAGE LTDA.; 06.906.483/0001-74;RUA ANTONIO DA ROCHA VIANA;S/N;CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04;VILA IVONETE;69914-610;GASOLINA;12/09/2024;7,18;;R$ / litro;VIBRA
N;AC;RIO BRANCO;POSTO VILLAGE LTDA.; 06.906.483/0001-74;RUA ANTONIO DA ROCHA VIANA;S/N;CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04;VILA IVONETE;69914-610;GASOLINA ADITIVADA;12/09/2024;7,18;;R$ / litro;VIBRA
N;AC;RIO BRANCO;POSTO VILLAGE LTDA.; 06.906.483/0001-74;RUA ANTONIO DA ROCHA VIANA;S/N;CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04;VILA IVONETE;69914-610;ETANOL;12/09/2024;4,97;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO CIDADE LTDA; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;;7 BEC;69918-093;GASOLINA;12/09/2024;7,17;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO CIDADE LTDA; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;;7 BEC;69918-093;ETANOL;12/09/2024;4,8;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;GASOLINA;12/09/2024;7,19;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;GASOLINA ADITIVADA;12/09/2024;7,24;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;ETANOL;12/09/2024;4,79;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;GASOLINA;10/09/2024;7,17;;R$ / litro;VIBRA
